"";"time";"Dist";"Var1";"Var2";"Var3";"Var4"
"7101";730;0,0403147384696829;0,1;0,1;0,8;0
"68821";730;0,0393965144114628;0,15;0,05;0,45;0,35
"6661";730;0,0386518225123183;0,15;0,1;0,75;0
"78081";730;0,0378632750094631;0,1;0,05;0,45;0,4
"113361";730;0,0375261801962136;0,1;0,05;0,25;0,6
"85141";730;0,0370723821251807;0,3;0,05;0,2;0,45
"76321";730;0,0366955084014458;0,3;0,05;0,25;0,4
"103221";730;0,0354485786166824;0,25;0,05;0,15;0,55
"67941";730;0,0346990607315895;0,25;0,05;0,35;0,35
"68381";730;0,0341109175746448;0,2;0,05;0,4;0,35
"86901";730;0,0294398729269026;0,1;0,05;0,4;0,45
"104541";730;0,0289094830153696;0,1;0,05;0,3;0,55
"77641";730;0,0267105613027617;0,15;0,05;0,4;0,4
"95721";730;0,0257213859482305;0,1;0,05;0,35;0,5
"94401";730;0,0254245960310212;0,25;0,05;0,2;0,5
"76761";730;0,0253502120885824;0,25;0,05;0,3;0,4
"103661";730;0,0223044847093975;0,2;0,05;0,2;0,55
"85581";730;0,0212038269644475;0,25;0,05;0,25;0,45
"77201";730;0,0210186267828602;0,2;0,05;0,35;0,4
"104101";730;0,0191364887332554;0,15;0,05;0,25;0,55
"86461";730;0,0149760489167007;0,15;0,05;0,35;0,45
"95281";730;0,0101067118775406;0,15;0,05;0,3;0,5
"94841";730;0,00940570656372679;0,2;0,05;0,25;0,5
"86021";730;0,00877265960241385;0,2;0,05;0,3;0,45
