"time";"lambda_T";"B"
270;5,4;33,4973276087842
319;6,38;15,7033288749489
420;8,4;12,9036250854164
451;9,02;23,2481775231273
466;9,32;14,8969487733823
43;0,86;45,5860965168625
114;2,28;15,625883330838
133;2,66;11,090410099586
142;2,84;23,3458202932625
182;3,64;21,9765745751132
285;5,7;16,8070114133719
311;6,22;24,6123451209502
343;6,86;16,4816862460492
390;7,8;1,66737158012594
49;0,98;43,8421989196624
138;2,76;14,5678272687221
175;3,5;17,6711121360293
260;5,2;11,2884771900444
305;6,1;17,3845224561612
341;6,82;17,3139128851674
376;7,52;2,37045429639394
465;9,3;5,03628299221648
471;9,42;8,84808179326069
146;2,92;25,9851552850752
150;3;35,4076272907163
223;4,46;8,04881475827112
297;5,94;1,80395714987505
354;7,08;14,2148983343867
357;7,14;3,35466968905777
369;7,38;11,776677172174
403;8,06;19,630384957905
481;9,62;12,2436478280159
13;0,26;47,3624679579878
51;1,02;28,6172873148315
93;1,86;16,6386456335289
112;2,24;6,89340896897535
136;2,72;11,7266318420016
198;3,96;8,06174101831293
409;8,18;5
436;8,72;28,9364321454076
453;9,06;24,3711443263443
193;3,86;34,2101804456029
201;4,02;19,0203546950336
212;4,24;10,3802102305615
259;5,18;0,783487934421764
294;5,88;15
328;6,56;18,159869942445
330;6,6;17,0267290677249
350;7;10,1999653591913
382;7,64;5,64941191262129
121;2,42;12,3882554281744
161;3,22;16,7818238280166
231;4,62;8,11466645501536
246;4,92;13,1702070454913
330;6,6;1,99269531508757
353;7,06;8,95549213852366
419;8,38;3,82216731285838
477;9,54;14,8584238466503
489;9,78;5,42150120101172
81;1,62;23,7913483104482
131;2,62;5
149;2,98;26,2102557392894
213;4,26;8,67469588854853
224;4,48;2,28208864544131
310;6,2;5,39880913797614
326;6,52;19,50074489622
419;8,38;10,373225694766
427;8,54;35,0242270716829
30;0,6;50,7264716558357
38;0,76;46,6509207299
45;0,9;47,3384004157917
190;3,8;31,021966490717
208;4,16;23,1408487824685
274;5,48;2,39422903164786
387;7,74;12,1943514575646
466;9,32;9,40599606270224
484;9,68;2,525642956616
212;4,24;36,2046965780026
263;5,26;3,13560973143368
280;5,6;27,8650908754924
329;6,58;15,1568016727069
369;7,38;1,71711742295536
389;7,78;26,24656909862
461;9,22;9,99820554849437
474;9,48;9,08715304137408
485;9,7;1,71397274249633
40;0,8;41,2573498929378
62;1,24;31,799483266431
221;4,42;26,7601588996899
270;5,4;7,04912902293393
299;5,98;25,1804392670739
324;6,48;23,9202874135067
353;7,06;10,7564170247094
415;8,3;11,7332640697208
497;9,94;13,5499116915895
29;0,58;37,9683963687249
42;0,84;42,7810213780654
