"";"time";"Dist";"Var1";"Var2";"Var3"
"765701";730;0,0230847110366557;0,19;0,06;0,75
"745301";730;0,0229981155502516;0,21;0,06;0,73
"755501";730;0,0228212341441888;0,2;0,06;0,74
"714601";730;0,0219728787520312;0,25;0,05;0,7
"837001";730;0,0208721554712941;0,13;0,05;0,82
"724801";730;0,019455684878473;0,24;0,05;0,71
"826801";730;0,0182280743524918;0,14;0,05;0,81
"735001";730;0,017068792201548;0,23;0,05;0,72
"816601";730;0,0158046420995525;0,15;0,05;0,8
"745201";730;0,0148854082595219;0,22;0,05;0,73
"806401";730;0,0137024890271129;0,16;0,05;0,79
"755401";730;0,0130208028003739;0,21;0,05;0,74
"796201";730;0,0120721239486356;0,17;0,05;0,78
"765601";730;0,0116438392641294;0,2;0,05;0,75
"786001";730;0,0111039895564053;0,18;0,05;0,77
"775801";730;0,0109563504750943;0,19;0,05;0,76
