"";"time";"Dist";"Var1";"Var2";"Var3"
"11601";488;0,0474835987702936;0,86;0,13;0,01
"41901";488;0,047422384080961;0,86;0,1;0,04
"52201";488;0,0473599714790726;0,84;0,11;0,05
"31701";488;0,0463077184539522;0,87;0,1;0,03
"31901";488;0,0463017676444781;0,85;0,12;0,03
"1401";488;0,0461388313527231;0,87;0,13;0
"42001";488;0,0461197628518747;0,85;0,11;0,04
"21501";488;0,0452087057792305;0,88;0,1;0,02
"21701";488;0,0449938860468245;0,86;0,12;0,02
"31801";488;0,0448896502149652;0,86;0,11;0,03
"11301";488;0,0441262171427434;0,89;0,1;0,01
"11501";488;0,0436928375956956;0,87;0,12;0,01
"21601";488;0,0436700675610497;0,87;0,11;0,02
"1101";488;0,0430612061749435;0,9;0,1;0
"11401";488;0,0424615061966016;0,88;0,11;0,01
"1301";488;0,0423987497045323;0,88;0,12;0
"1201";488;0,0412645215369387;0,89;0,11;0
"439501";547;0,023877720614308;0,49;0,08;0,43
"561901";547;0,0238647357967789;0,37;0,08;0,55
"347901";547;0,0238508768475088;0,56;0,1;0,34
"572201";547;0,0233894514583412;0,35;0,09;0,56
"500901";547;0,0229787864726505;0,41;0,1;0,49
"449701";547;0,0227157789579789;0,48;0,08;0,44
"551701";547;0,0226411553354609;0,38;0,08;0,54
"358101";547;0,0222784935198436;0,55;0,1;0,35
"368201";547;0,0221524913372288;0,55;0,09;0,36
"459901";547;0,0217076975578784;0,47;0,08;0,45
"541501";547;0,0216019030107387;0,39;0,08;0,53
"490701";547;0,0213429645019497;0,42;0,1;0,48
"562001";547;0,0209862207981929;0,36;0,09;0,55
"470101";547;0,0208789238989988;0,46;0,08;0,46
"368301";547;0,0208104363283741;0,54;0,1;0,36
"531301";547;0,0207701944337419;0,4;0,08;0,52
"480301";547;0,0202548302407528;0,45;0,08;0,47
"521101";547;0,0201672914715916;0,41;0,08;0,51
"378401";547;0,0199916330715306;0,54;0,09;0,37
"480501";547;0,0198650623401087;0,43;0,1;0,47
"490501";547;0,0198582841162859;0,44;0,08;0,48
"510901";547;0,0198097551369186;0,42;0,08;0,5
"500701";547;0,0197067627517937;0,43;0,08;0,49
"378501";547;0,0194740302282027;0,53;0,1;0,37
"551801";547;0,0185990066753712;0,37;0,09;0,54
"470301";547;0,0185769703415099;0,44;0,1;0,46
"388701";547;0,0183022354837226;0,52;0,1;0,38
"388601";547;0,0178209813920394;0,53;0,09;0,38
"460101";547;0,0175145492331356;0,45;0,1;0,45
"398901";547;0,0173329004788314;0,51;0,1;0,39
"449901";547;0,0167149964073416;0,46;0,1;0,44
"409101";547;0,0166065656196152;0,5;0,1;0,4
"541601";547;0,0162278247466771;0,38;0,09;0,53
"439701";547;0,0162105767847753;0,47;0,1;0,43
"419301";547;0,0161606764577107;0,49;0,1;0,41
"429501";547;0,0160242790034823;0,48;0,1;0,42
"398801";547;0,0156404836174405;0,52;0,09;0,39
